                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84703,                 3.1799,                0.99325,                0.00478,                0.95653,                0.42615,                0.34812,                0.63783,                 3.9743,                0.83062,             0.00036192,             0.00036192,             0.00036192
                      2,                0.75463,                 1.7153,                0.97528,                0.91161,                0.74551,                0.92606,                 0.7746,                0.72137,                 2.8202,                 0.9344,               0.000725,               0.000725,               0.000725
                      3,                0.75913,                  1.516,                0.99375,                0.93323,                0.94378,                0.97658,                0.80077,                0.73302,                 1.2416,                0.98494,              0.0010808,              0.0010808,              0.0010808
                      4,                0.76696,                 1.3338,                 1.0049,                0.91671,                0.94535,                0.97412,                0.79805,                 0.7331,                 1.0853,                 1.0054,               0.001078,               0.001078,               0.001078
                      5,                0.71494,                   1.16,                0.96633,                0.97173,                0.94297,                0.99214,                0.84615,                 0.6348,                0.95156,                0.94652,               0.001078,               0.001078,               0.001078
                      6,                0.68289,                 1.0268,                0.96175,                0.89061,                 0.8941,                 0.9165,                0.80088,                0.60817,                 1.3089,                0.94894,               0.001067,               0.001067,               0.001067
                      7,                0.68531,                 0.9233,                0.96553,                0.97811,                0.96986,                0.99069,                 0.8357,                0.63555,                0.72445,                0.94543,               0.001056,               0.001056,               0.001056
                      8,                0.65968,                0.83511,                 0.9511,                0.98681,                  0.993,                  0.995,                0.86832,                0.58124,                0.62516,                0.93899,               0.001045,               0.001045,               0.001045
                      9,                0.64845,                0.81277,                 0.9427,                0.98414,                 0.9913,                0.99442,                0.86106,                0.59822,                 0.6452,                 0.9491,               0.001034,               0.001034,               0.001034
                     10,                0.64122,                 0.7362,                0.93515,                0.98239,                0.97299,                0.99427,                0.86366,                0.60953,                0.53712,                 0.9307,               0.001023,               0.001023,               0.001023
                     11,                0.62907,                0.69786,                0.93913,                0.98535,                0.98809,                  0.992,                 0.8732,                0.55311,                0.46511,                0.93197,               0.001012,               0.001012,               0.001012
                     12,                0.61224,                0.65152,                0.93839,                0.99138,                0.99044,                0.99363,                0.87912,                0.56509,                0.44474,                0.94334,               0.001001,               0.001001,               0.001001
                     13,                0.63019,                0.62143,                0.94471,                0.98812,                0.97693,                0.99304,                0.86744,                0.56188,                0.45147,                0.93338,             0.00099001,             0.00099001,             0.00099001
                     14,                0.61109,                0.60966,                 0.9373,                0.99315,                0.98829,                 0.9948,                0.87725,                0.57762,                0.45217,                0.93688,             0.00097901,             0.00097901,             0.00097901
                     15,                0.59448,                0.56877,                0.93645,                0.98497,                0.99628,                0.99405,                0.86391,                0.58441,                0.42309,                0.94049,             0.00096801,             0.00096801,             0.00096801
                     16,                0.58945,                0.54757,                 0.9233,                0.99016,                0.99494,                  0.995,                0.89344,                0.53321,                0.39084,                0.92057,             0.00095702,             0.00095702,             0.00095702
